Series Name,Series Code,Country Name,Country Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,5.80929806649916,7.21062855108107,7.55515602372989,6.81559394879114,5.53134969838649,4.14183876292854,3.11057339034786,2.61250065114524,2.80679625574943,3.42580653261,4.1226624060886,4.55080456168904,4.63909445410118,4.31513158794839,3.75869629983257,3.16125834846767,2.71819809591115,2.48531457199415,2.52562775400891,2.73688595890095,2.98397866645826,3.13554616440454,3.16433627387256,3.03347255254667,..
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.602809679480026,-0.606434726201759,-0.610165792730247,-0.613880506929603,-0.617703658436963,-0.62151139901728,-0.625430096900055,-0.629334392525913,-0.63335227398725,-0.637356833943492,-0.93847042771206,-0.299876697084691,-0.374149169291299,-0.417931377925999,-0.511790116421897,-0.630911244851673,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.283303107545257,-0.147831247146874,-0.10772950693099,-0.0998300968586222,..
Population growth (annual %),SP.POP.GROW,Algeria,DZA,2.44705976767983,2.33244663659206,2.20161756127228,2.05192809443375,1.8939623062067,1.74069073850377,1.6050312955735,1.49165407721729,1.40639592629799,1.34660821887444,1.29565690081777,1.2584706868135,1.25651194154147,1.29529591506926,1.36390473583863,1.43679286659749,1.50755158799367,1.58991017639082,1.68272601800715,1.77604672007568,1.87206070929334,1.94808888782918,1.97481446070098,1.94039918384128,..
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,2.79825012812475,2.48645127606533,2.24885376811874,2.11063895587642,2.03864493874044,1.97010117196854,1.86653469759177,1.72684075597353,1.54262957737291,1.31946966358002,1.13054152320993,0.946074376140603,0.658488878700854,0.244976005061715,-0.244976005061708,-0.796505718214268,-1.27670070998988,-1.51914871757731,-1.42156962758721,-1.05488096248578,-0.57682761424718,-0.161023346987729,0.135711010704751,0.23840496770808,..
Population growth (annual %),SP.POP.GROW,Andorra,ADO,3.89130356082097,3.85934482925379,3.50140432254517,2.7550040858642,1.81261431943126,0.682042520639064,-0.224232797671097,-0.404577425363617,0.426399915084529,1.91114183546633,3.56126513216473,4.72079354288534,5.12630318459239,4.64294464684047,3.61784253998995,2.61260576509713,1.78904154093293,0.865725021754552,-0.165994543931012,-1.24197413796786,-2.51055195828671,-3.7247101430534,-4.39968392210089,-4.19194054987126,..
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.04715916289043,3.23166644288693,3.30225068517767,3.22737518143572,3.06886964208326,2.8878727606763,2.76992342599309,2.75721515728433,2.87812445149465,3.07944386258132,3.29310928103361,3.45384538986356,3.54719904207811,3.55530348961614,3.50771162949218,3.4486214865201,3.40620672625953,3.37418025986003,3.35914867009651,3.35369256340807,3.347413299737,3.33156741325142,3.30620456316035,3.26955240572046,..
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.814045905272799,1.62424307213241,2.2354440556868,2.55991089839929,2.66733876439022,2.7362198818592,2.78940297015634,2.69618484326511,2.44276590690981,2.09131241559332,1.6907566599122,1.33082051169724,1.08617022209144,1.00110292370433,1.0311566078039,1.08654822451314,1.10805117863925,1.12285932939742,1.10691488489327,1.07531016020298,1.04798974940638,1.03487530705441,1.02316395171461,1.01170114102671,..
Population growth (annual %),SP.POP.GROW,Argentina,ARG,1.40825819224385,1.37993341081421,1.3451272370736,1.30250375871119,1.25576226975128,1.20676891837163,1.16285040824829,1.13108366219504,1.11533067875968,1.11091620450466,1.11120859669176,1.10909464010634,1.10247301511321,1.08856866353167,1.07023021299288,1.0501665291824,1.03398372181811,1.02539283308112,1.02680978008519,1.03445486935138,1.04428767328593,1.04980926143269,1.04706505456002,1.03305555285726,..
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.929150110002451,-1.79321951989429,-2.3412716297039,-2.39454676161161,-2.05039613077472,-1.55548318189086,-1.13366967730159,-0.790134993965073,-0.616682621839136,-0.574466264775964,-0.523523009279186,-0.418746421195188,-0.35600265027686,-0.344352298457002,-0.36633661230182,-0.42399380927503,-0.468893955543282,-0.438963628123395,-0.300313111942129,-0.0881003240332919,0.151328196553585,0.348282811655418,0.464046660476912,0.465529171376968,..
Population growth (annual %),SP.POP.GROW,Aruba,ABW,3.90517473443176,5.43872451160046,6.06013455831489,5.63427330999844,4.61916459754323,3.50938955188277,2.67090508273814,2.11792102655521,1.96058015820174,2.06165356601521,2.21612099555933,2.23652004783367,2.10413470867324,1.7644782118065,1.29697501067185,0.795579245710459,0.384067624467683,0.122432874693392,0.0729934239690801,0.178313751295381,0.33311582247529,0.447318551966645,0.514335275703456,0.50396982061011,..
